iter	Passed	Remaining
701	19272	8181
702	19300	8153
703	19323	8124
704	19348	8096
705	19388	8074
706	19422	8049
707	19445	8020
708	19468	7990
709	19495	7962
710	19515	7932
711	19554	7909
712	19587	7884
713	19610	7855
714	19633	7825
715	19661	7798
716	19680	7767
717	19710	7741
718	19733	7712
719	19762	7685
720	19785	7656
721	19828	7634
722	19854	7606
723	19883	7579
724	19913	7553
725	19961	7533
726	19992	7507
727	20012	7477
728	20040	7449
729	20062	7420
730	20087	7392
731	20115	7364
732	20137	7335
733	20162	7306
734	20193	7280
735	20220	7253
736	20244	7224
737	20274	7197
738	20305	7171
739	20329	7142
740	20352	7113
741	20395	7091
742	20421	7063
743	20456	7038
744	20487	7012
745	20516	6985
746	20541	6957
747	20566	6928
748	20602	6904
749	20624	6874
750	20647	6845
751	20669	6816
752	20692	6787
753	21224	6924
754	21241	6893
755	21256	6860
756	21276	6829
757	21296	6799
758	21322	6770
759	21344	6740
760	21366	6710
761	21392	6681
762	21413	6651
763	21434	6621
764	21454	6590
765	21478	6561
766	21499	6531
767	21522	6501
768	21547	6472
769	21567	6442
770	21590	6412
771	21622	6385
772	21651	6358
773	21679	6330
774	21707	6302
775	21733	6273
776	21762	6245
777	21794	6219
778	21828	6192
779	21859	6165
780	21879	6135
781	21899	6104
782	21925	6076
783	21953	6048
784	21973	6018
785	22017	5994
786	22042	5965
787	22088	5942
788	22135	5919
789	22157	5889
790	22182	5861
791	22208	5832
792	22234	5804
793	22259	5775
794	22279	5745
795	22303	5715
796	22326	5686
797	22348	5657
798	22377	5629
799	22396	5599
800	22418	5569
801	22450	5542
802	22471	5512
803	22495	5484
804	22518	5454
805	22537	5424
806	22568	5397
807	22595	5369
808	22622	5341
809	22652	5313
810	22677	5284
811	22734	5263
812	22761	5235
813	22790	5207
814	22815	5178
815	22840	5150
816	22863	5121
817	22886	5092
818	22908	5062
819	22942	5036
820	22963	5006
821	22988	4978
822	23035	4954
823	23063	4926
824	23083	4896
825	23105	4867
826	23125	4837
827	23144	4807
828	23175	4780
829	23194	4750
830	23216	4721
831	23243	4693
832	23275	4666
833	23299	4637
834	23321	4608
835	23351	4580
836	23375	4552
837	23398	4523
838	23421	4494
839	23451	4466
840	23487	4440
841	23520	4413
842	23545	4385
843	23571	4356
844	23588	4326
845	23617	4299
846	23647	4271
847	23673	4243
848	23697	4214
849	23716	4185
850	23742	4157
851	23766	4128
852	23798	4101
853	23821	4072
854	23845	4043
855	23867	4015
856	23899	3987
857	23927	3960
858	23951	3931
859	23972	3902
860	23994	3873
