iter	Passed	Remaining
668	9392	4646
669	9415	4637
670	9442	4629
671	9461	4617
672	9481	4606
673	9500	4595
674	9518	4583
675	9543	4574
676	9566	4564
677	9589	4554
678	9618	4547
679	9647	4540
680	9669	4529
681	9697	4521
682	9712	4507
683	9726	4493
684	9741	4479
685	9755	4465
686	9770	4451
687	9784	4437
688	9798	4422
689	9813	4408
690	9826	4394
691	9841	4380
692	9854	4365
693	9869	4351
694	9883	4337
695	9896	4322
696	9911	4308
697	9926	4294
698	9941	4280
699	9957	4267
700	9994	4263
701	10013	4250
702	10029	4237
703	10041	4222
704	10060	4209
705	10074	4195
706	10089	4181
707	10103	4167
708	10117	4152
709	10132	4138
710	10145	4123
711	10160	4109
712	10174	4095
713	10187	4080
714	10202	4066
715	10217	4052
716	10231	4038
717	10246	4024
718	10261	4010
719	10275	3995
720	10290	3981
721	10303	3967
722	10318	3953
723	10332	3938
724	10349	3925
725	10362	3910
726	10375	3896
727	10388	3881
728	10401	3866
729	10427	3856
730	10447	3844
731	10469	3833
732	10487	3820
733	10506	3807
734	10524	3794
735	10543	3781
736	10562	3769
737	10583	3757
738	10600	3743
739	10615	3729
740	10628	3714
741	10641	3700
742	10655	3685
743	10670	3671
744	10685	3657
745	10700	3643
746	10714	3629
747	10729	3614
748	10741	3599
749	10756	3585
750	10770	3571
751	10785	3556
752	10800	3542
753	10815	3528
754	10829	3514
755	10844	3500
756	10851	3483
757	10865	3468
758	10880	3454
759	10894	3440
760	10906	3425
761	10921	3411
762	10936	3397
763	10941	3379
764	10955	3365
765	10968	3350
766	11005	3343
767	11022	3329
768	11041	3316
769	11056	3302
770	11070	3288
771	11084	3273
772	11097	3258
773	11112	3244
774	11126	3230
775	11140	3215
776	11153	3200
777	11167	3186
778	11182	3172
779	11196	3158
780	11209	3143
781	11224	3128
782	11237	3114
783	11252	3100
784	11264	3085
785	11278	3070
786	11293	3056
787	11307	3042
788	11322	3027
789	11336	3013
790	11351	2999
791	11365	2984
792	11380	2970
793	11392	2955
794	11410	2942
795	11428	2929
796	11447	2915
797	11466	2902
798	11487	2889
799	11514	2878
800	11534	2865
801	11554	2852
802	11579	2840
803	11604	2828
804	11618	2814
805	11632	2799
806	11646	2785
807	11662	2771
808	11677	2756
809	11691	2742
810	11706	2728
811	11718	2713
812	11732	2698
813	11745	2683
814	11759	2669
815	11774	2654
816	11788	2640
817	11803	2626
818	11816	2611
819	11830	2597
820	11844	2582
821	11852	2566
822	11867	2552
823	11879	2537
824	11894	2523
825	11907	2508
826	11922	2493
827	11934	2479
828	11947	2464
829	11962	2450
830	11998	2440
831	12018	2426
832	12033	2412
833	12039	2396
834	12055	2382
835	12071	2368
836	12084	2353
837	12099	2339
838	12115	2324
839	12129	2310
840	12143	2295
841	12157	2281
842	12172	2267
843	12186	2252
844	12202	2238
845	12217	2223
846	12229	2209
847	12244	2194
848	12259	2180
849	12272	2165
850	12287	2151
851	12300	2136
852	12315	2122
853	12330	2108
854	12345	2093
855	12359	2079
856	12373	2064
857	12386	2050
858	12401	2035
859	12423	2022
860	12441	2008
861	12461	1995
862	12480	1981
863	12499	1967
864	12518	1953
865	12537	1939
866	12554	1925
867	12574	1912
868	12593	1898
869	12613	1884
870	12627	1870
871	12643	1855
872	12660	1841
873	12678	1827
874	12694	1813
875	12711	1799
876	12725	1784
877	12743	1770
878	12760	1756
879	12777	1742
880	12793	1728
881	12808	1713
882	12823	1699
883	12838	1684
884	12853	1670
885	12867	1655
886	12880	1640
887	12895	1626
888	12910	1611
889	12923	1597
890	12937	1582
891	12950	1568
892	12963	1553
893	13001	1541
894	13021	1527
895	13035	1512
896	13049	1498
897	13063	1483
898	13080	1469
899	13093	1454
900	13114	1440
901	13147	1428
902	13181	1415
903	13210	1402
904	13240	1389
905	13256	1375
906	13285	1362
907	13312	1348
908	13338	1335
909	13366	1321
910	13390	1308
911	13414	1294
912	13450	1281
913	13469	1267
914	13487	1252
915	13505	1238
916	13518	1223
917	13536	1209
918	13554	1194
919	13573	1180
920	13591	1165
921	13613	1151
922	13628	1136
923	13643	1122
924	13658	1107
925	13671	1092
926	13683	1077
927	13696	1062
928	13710	1047
929	13724	1033
930	13739	1018
931	13752	1003
932	13767	988
933	13781	973
934	13795	959
935	13811	944
936	13826	929
937	13840	914
938	13853	899
939	13867	885
940	13882	870
941	13894	855
942	13908	840
943	13923	825
944	13936	811
945	13952	796
946	13966	781
947	14006	768
948	14028	753
949	14042	739
950	14056	724
951	14071	709
952	14086	694
953	14100	679
954	14114	665
955	14127	650
956	14142	635
957	14156	620
958	14169	605
959	14184	591
960	14202	576
961	14217	561
962	14235	546
963	14256	532
964	14285	518
965	14318	503
966	14346	489
967	14377	475
968	14409	460
969	14432	446
970	14461	431
971	14493	417
972	14517	402
973	14540	388
974	14557	373
975	14578	358
976	14597	343
977	14614	328
978	14635	313
979	14660	299
980	14676	284
981	14696	269
982	14716	254
983	14730	239
984	14745	224
985	14763	209
986	14778	194
987	14793	179
988	14811	164
989	14827	149
990	14841	134
991	14859	119
992	14878	104
993	14901	89
994	14926	75
995	14942	60
996	14963	45
997	15013	30
998	15054	15
999	15087	0
